title,date,stock,label
"Hearing Susquehanna Check Suggests Total iPhone 12 Builds Tracking To 10M, Below Firm's Expectation Of 25M; Unconfirmed",2020-06-02,AAPL,1.0
Volume Production of New iPhone Models to Begin in Q3 2020,2020-06-01,AAPL,1.0
"Apple CEO Writes To Employees About George Floyd Death, Urges For 'Better, More Just World For Everyone'",2020-06-01,AAPL,1.0
"Gun, Security Stocks Trade Higher After Weekend Protests Turn Violent And Destructive",2020-06-01,AAPL,1.0
"Apple Pays Hacker From India $100,000 For Discovering Serious 'Sign In With Apple' Vulnerability",2020-06-01,AAPL,1.0
Carter Worth And Mike Khouw's Apple Trade,2020-06-01,AAPL,1.0
Deciphera Prepares To Collect Revenue After First FDA Approval: 'We Are Well-Positioned',2020-05-29,ABC,1.0
"A Mighty May: Over $200,000 In Gross Profits",2020-05-29,ABIO,1.0
50 Stocks Moving In Friday's Mid-Day Session,2020-05-29,ABIO,1.0
Mid-Morning Market Update: Markets Open Lower; Big Lots Beats Q1 Estimates,2020-05-29,ABIO,1.0
"Costco Shares Come Under Pressure Despite Strong Earnings, Same-Store Sales",2020-05-29,AAPL,1.0
Martin Scorsese's Next Movie Will Be Financed By Apple: Report,2020-05-28,AAPL,0.0
"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple",2020-05-28,AAPL,0.0
"NetworkNewsBreaks – ARCA Biopharma, Inc. (NASDAQ: ABIO) Launches New Development Program to Evaluate AB201 for Treatment of COVID-19 Associated CAC",2020-05-28,ABIO,0.0
Costco Earnings On Tap After Close As Investors Mull Strong Toll Brothers Results,2020-05-28,AAPL,0.0
Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies,2020-05-28,AAPL,0.0
3 Apple Analysts Lift Price Targets: Why They're Optimistic On iPhone's Trajectory,2020-05-27,AAPL,1.0
"B of A Securities Maintains Buy on Apple, Raises Price Target to $340",2020-05-27,AAPL,1.0
Leidos Awarded $84.6M Payment from VirnetX  Lawsuit vs Apple,2020-05-27,AAPL,1.0
This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal,2020-05-27,AAPL,1.0
The Most Popular Smartphone Model Of Q1,2020-05-27,AAPL,1.0
Shares of several consumer discretionary companies are trading higher as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could mean a faster return to discretionary spending.,2020-05-26,AAN,0.0
71 Biggest Movers From Friday,2020-05-26,A,0.0
"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week",2020-05-26,AAPL,0.0
Apple To Reopen ~100 More US Stores This Week,2020-05-26,AAPL,0.0
Study: 34% Of Americans Report Looking Through Their Partner's Phone Without Permission,2020-05-26,AAPL,0.0
"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $87",2020-05-22,A,1.0
Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2020-05-22,A,1.0
46 Stocks Moving In Friday's Mid-Day Session,2020-05-22,A,1.0
"CFRA Maintains Hold on Agilent Technologies, Lowers Price Target to $85",2020-05-22,A,1.0
"B of A Securities Maintains Neutral on Agilent Technologies, Raises Price Target to $88",2020-05-22,A,1.0
"Earnings Scheduled For May 21, 2020",2020-05-21,A,0.0
8 Stocks Moving In Thursday's After-Hours Session,2020-05-21,A,0.0
"Agilent Technologies Q2 Adj. EPS $0.71 Beats $0.61 Estimate, Sales $1.24B Beat $1.21B Estimate",2020-05-21,A,0.0
Agilent Technologies shares are trading higher after the company reported better-than-expected Q2 EPS and sales results.,2020-05-21,A,0.0
"Morgan Stanley Maintains Overweight on Advance Auto Parts, Raises Price Target to $148",2020-05-21,AAP,0.0
"Guggenheim Maintains Buy on Advance Auto Parts, Raises Price Target to $158",2020-05-20,AAP,1.0
"Wedbush Maintains Outperform on Advance Auto Parts, Raises Price Target to $150",2020-05-20,AAP,1.0
"Nomura Instinet Maintains Neutral on Advance Auto Parts, Raises Price Target to $130",2020-05-20,AAP,1.0
'COVID-19 exposure notification settings begin to go live for iOS users with new update' -TechCrunch,2020-05-20,AAPL,1.0
"UBS Maintains Buy on Advance Auto Parts, Raises Price Target to $154",2020-05-20,AAP,1.0
28 Stocks Moving in Tuesday's Pre-Market Session,2020-05-19,AAP,0.0
Recap: Advance Auto Parts Q1 Earnings,2020-05-19,AAP,0.0
44 Stocks Moving In Tuesday's Mid-Day Session,2020-05-19,AAP,0.0
"CFRA Maintains Hold on Advance Auto Parts, Lowers Price Target to $135",2020-05-19,AAP,0.0
Advance Auto Parts shares are trading higher despite reporting worse-than-expected Q1 earnings results.,2020-05-19,AAP,0.0
"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today",2020-05-18,AAPL,1.0
"More Than 25 US Apple Stores To Reopen, 100 Now Open Around The World",2020-05-18,AAPL,1.0
Agilent Technologies Receives FDA Approval for PD-L1 as a Companion Diagnostic,2020-05-18,A,1.0
"Shares of several industrial companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine, which has raised hopes of an economic rebound.",2020-05-18,ABB,1.0
"B of A Securities Reinstates Neutral on AbbVie, Announces $95 Price Target",2020-05-18,ABBV,1.0
US To Block Shipments Of Semiconductors To Huawei: Report,2020-05-15,AAPL,1.0
Quick Retreat: Impressive Thursday Turnaround Halted in Its Tracks Amid Fresh Trade Tiff,2020-05-15,AAPL,1.0
13F From Buffett's Berkshire Shows Maintained Stake In Apple,2020-05-15,AAPL,1.0
AAON Raises Semi-Annual Dividend From $0.16 To $0.19/Share,2020-05-15,AAON,1.0
"Pershing Square 13F Shows Fund Raises Stake In Agilent Technologies To 12,626,593 Shares",2020-05-15,A,1.0
"Wells Fargo Maintains Equal-Weight on Advance Auto Parts, Raises Price Target to $125",2020-05-14,AAP,1.0
Report: FBI Seizes Sen. Richard Burr's Phone In Investigation Of Coronavirus Stock Sell-Off,2020-05-14,AAPL,1.0
The Mixed Sony Effect,2020-05-14,AAPL,1.0
"'Apple's computerized glasses won't be ready until 2022 'at the earliest,' top analyst says' -CNBC Article",2020-05-14,AAPL,1.0
'Apple supplier TSMC is reportedly building an Arizona chip plant' -The Verge,2020-05-14,AAPL,1.0
"Retail Pro Says Giants Like Amazon, Walmart Will Prevail After Coronavirus: 'It's Not Fair'",2020-05-13,AAPL,0.0
"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition",2020-05-13,AAPL,0.0
"Shares of several companies in the broader healthcare sector are trading lower amid market weakness despite recent strength from many names in the space. Equities are down for the session following cautious comments from US Fed Chair Powell, which forecast uncertainty and downside risk. Some regions of the US have extended lockdown restrictions, including Washington D.C.  and Los Angeles County.",2020-05-13,ABC,0.0
"Shares of several companies in the financial services sector are trading lower amid market weakness, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy. The coronavirus pandemic has slowed economic growth and led to businesses scaling back investment, which has negatively impacted the financial sector.",2020-05-13,ABCB,0.0
Apple Plans To Bring Employees Back To Office Even As Tech Peers Hold Off,2020-05-13,AAPL,0.0
"""Stay at Home"" Stocks Still Rule the Roost as Nvidia, Microsoft, Apple Start Week Firmly",2020-05-12,AAPL,0.0
"Analyst Polishes Apple Price Target On 'Teflon-Like' Services, iPhone 12 Outlook",2020-05-12,AAPL,0.0
Apple Plans for More Workers to Go Back to Offices Over Months,2020-05-12,AAPL,0.0
"Caution Ahead: Biggest Blue-Chips Seek Change, Innovation Post-COVID-19",2020-05-12,AAPL,0.0
"Wedbush Maintains Outperform on Apple, Raises Price Target to $350",2020-05-12,AAPL,0.0
"Atlantic American Q1 EPS $(0.400) Down From $0.190 YoY, Sales $39.410M Down From $55.018M YoY",2020-05-11,AAME,1.0
Altisource Asset Mgmt Q1 EPS $2.350 Up From $0.560 YoY,2020-05-11,AAMC,1.0
Cruise Line Earnings Later This Week Could Provide Insight On Brutal Quarter For Industry,2020-05-11,AAPL,1.0
"UBS Maintains Buy on Advance Auto Parts, Raises Price Target to $140",2020-05-11,AAP,1.0
96 Biggest Movers From Friday,2020-05-11,AAOI,1.0
How Bill Ackman Successfully Navigated Coronavirus Market Volatility,2020-05-08,A,1.0
"Stifel Maintains Buy on Aaron's, Raises Price Target to $49",2020-05-08,AAN,1.0
Aaron's shares are trading higher after Raymond James and KeyBanc maintained Overweight ratings on the company's stock after the company reported better-than-expected Q1 EPS and sales results yesterday.,2020-05-08,AAN,1.0
"SunTrust Robinson Humphrey Maintains Buy on Aaron's, Raises Price Target to $40",2020-05-08,AAN,1.0
Why Aaron's Stock Is Trading Higher Today,2020-05-08,AAN,1.0
68 Stocks Moving In Thursday's Mid-Day Session,2020-05-07,AAN,1.0
"Applied Optoelectronics Sees Q2 Adj. EPS $0.20-$0.28, Sales $55M-$60M",2020-05-07,AAOI,1.0
Aaron's shares are trading higher after the company reported better-than-expected Q1 EPS and sales results.,2020-05-07,AAN,1.0
"Earnings Scheduled For May 7, 2020",2020-05-07,AAN,1.0
"Aaron's Q1 Adj. EPS $0.850 Beats $0.820 Estimate, Sales $1.100B Beat $1.050B Estimate",2020-05-07,AAN,1.0
Apple Chassis Maker Catcher Said to be Considering Leaving China to Open Factories in SouthEast Asia,2020-05-06,AAPL,0.0
'Microsoft is releasing its new AirPods rival after months of delays — and it's even cheaper than expected' -Recent Business Insider Article,2020-05-06,AAPL,0.0
"A Low-Cost, FAAMNG-Heavy ETF For May",2020-05-06,AAPL,0.0
A Recap Of Social Media Earnings,2020-05-06,AAPL,0.0
"GM, Disney, Beyond Meat Results In Focus, With GM And BYND Getting Early Lift",2020-05-06,AAPL,0.0
Apple to Host Virtual Worldwide Developers Conference Beginning June 22,2020-05-05,AAPL,0.0
Shares of several healthcare companies are trading higher amid positive investor sentiment as some US states begin to reopen their economies and as oil prices gain for the session.,2020-05-05,A,0.0
What Apple's WWDC 2020 Invite Says About This Year's Virtual Presentation,2020-05-05,AAPL,0.0
"Charles Schwab Launches Fractional Shares, The Ability To Gift Stock",2020-05-05,AAPL,0.0
"Disney, Beyond Meat And Video Game Makers All Set To Report As Firm Tone Continues",2020-05-05,AAPL,0.0
Apple Grows Smartphone Market Share Even As Overall Market Declines At Record Pace,2020-05-04,AAPL,1.0
"Apple Announces Updated MacBook Pro Offering 10th Generation Processor For Up To 80% Faster Graphics Performance; Starting At $1,299 And $1,199 For Education",2020-05-04,AAPL,1.0
"Hearing Apple To Reopen Stores Starting Friday, Region Not Specified",2020-05-04,AAPL,1.0
"GM, Disney In Focus Along With Friday's Payrolls Data As Stocks Appear Shaky To Start New Week",2020-05-04,AAPL,1.0
'Apple raises more than $8 billion in bond offering' -Tweet From CNBC Now,2020-05-04,AAPL,1.0
Shares of several industrial companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies.,2020-05-01,AAN,0.0
"Amazon, Exxon Mobil Earnings Weigh On Market To Start New Month As Caution Steers The Wheel",2020-05-01,AAPL,0.0
VirnetX Shares Dip; Hearing Judge Has Ordered Retrial Regarding Damages In VirnetX vs Apple VPN On Demand Lawsuit,2020-05-01,AAPL,0.0
Shares of several healthcare companies are trading lower as markets dip following recent strength. Markets have sold off as investors weigh recent earnings and amid concerns of renewed US-China trade frictions.,2020-05-01,A,0.0
16 Technology Stocks Moving In Friday's Pre-Market Session,2020-05-01,AAOI,0.0
Apple CFO Says Apple Care And Advertising Will Be Affected In June Quarter,2020-04-30,AAPL,0.0
"Apple CFO Expects Digital Services To Continue To Grow At Same Level Of Performance Seen In Mar., Qtr.; Says Expects Apple Care To Be Impacted During Jun. Qtr.",2020-04-30,AAPL,0.0
108 Biggest Movers From Yesterday,2020-04-30,AAMC,0.0
Apple CFO Says Advertising Also To Be Affected By June Quarter,2020-04-30,AAPL,0.0
Apple CEO Tim Cook: Store Traffic Not Back To Pre-COVID-19 Levels In China,2020-04-30,AAPL,0.0
"Shares of several technology companies are trading higher amid market strength following positive data from a study of Gilead's Remdesivir, which is being evaluated for coronavirus. A successful treatment could mean a sooner return to economic activity. NOTE: Some names may also be moving in sympathy following recent earnings from Google and some semiconductor companies.",2020-04-29,AAPL,1.0
"Alphabet, Boeing Shares Get A Lift Following Earnings, While GE Falls Short",2020-04-29,AAPL,1.0
AT&T Is Hoping HBO Max Will Turn The Tide,2020-04-29,AAPL,1.0
"Shares of several industrial companies are trading higher following positive data from a study of Gilead's Remdesivir, which is being evaluated as a potential coronavirus treatment candidate. A successful treatment could make a sooner return to economic activity.",2020-04-29,AAN,1.0
Apple Adds Coronavirus Testing Sites To Maps In US,2020-04-29,AAPL,1.0
AllianceBernstein Holding: Q1 Earnings Insights,2020-04-28,AB,0.0
"AllianceBernstein Holding Q1 Adj. EPS $0.640 Beats $0.590 Estimate, Sales $874.160M Beat $718.420M Estimate",2020-04-28,AB,0.0
"UBS Maintains Neutral on Agilent Technologies, Lowers Price Target to $84",2020-04-28,A,0.0
"Earnings Feast: Bring a Plate With Healthcare and Caterpillar in Morning, GOOGL And AMD Later",2020-04-28,AAPL,0.0
"Apple Earnings Ahead: Rough Quarter, iPhone Expectations And Getting Back To Business",2020-04-28,AAPL,0.0
"Shares of several industrial companies are trading higher as equities gain strength on news that some U.S. states will reopen their economies in phases, increasing economic activity and optimism around the coronavirus pandemic.",2020-04-27,AAN,1.0
How Large Apple Option Traders Are Positioning Ahead Of Earnings,2020-04-27,AAPL,1.0
3 Sector ETFs For This Week's Earnings Parade,2020-04-27,AAPL,1.0
"Raymond James Says 'We lowered our iPhone estimates 2 weeks ago to take into account the likelihood of slower sales, and we don't see a reason to change our estimates at this time'",2020-04-27,AAPL,1.0
Raymond James On Reports Of Apple iPhone Delays Says 'Apple suppliers we spoke with hadn't seen changes yet'; Says 'Our conclusion is that AAPL is likely selectively notifying suppliers.',2020-04-27,AAPL,1.0
10 Biggest Price Target Changes For Friday,2020-04-24,AAPL,1.0
Hearing Credit Suisse Asia Sees Apple Cutting iPhone Jul. To Sept. Production By 30% Given A Delay In Production Ramp For 2020 Models,2020-04-24,AAPL,1.0
"Apple Shares Unaffected As Hearing Trump Says He Spoke With Tim Cook, Trump Says Cook Believes Economy Will See V-Shaped Recovery",2020-04-24,AAPL,1.0
"Nvidia Reportedly Eyeing 5nm Chips Even As Apple, AMD Ramp Up Orders",2020-04-24,AAPL,1.0
"Apple Says No Evidence That Hackers Exploited Vulnerability In iPhones, iPads To Steal Data",2020-04-24,AAPL,1.0
10 Biggest Price Target Changes For Thursday,2020-04-23,AAPL,0.0
Agilent Reports FDA Approval For PD-L1 Companion Diagnostic On Dako Omni,2020-04-23,A,0.0
Intel Shares Unaffected Following NY Post Article 'Apple to reportedly use its own chips for Macs instead of Intel's next year',2020-04-23,AAPL,0.0
"Apple Reportedly Shifting Away From Intel, Will Make Its Own Mac Chips",2020-04-23,AAPL,0.0
"Apple Analyst Braces For 'Friday The 13th'-Like Q2, Says iPhone On Track",2020-04-23,AAPL,0.0
Another Autonomous Trucking Startup Announces Layoffs,2020-04-22,AAPL,1.0
Agilent Reports Has Become Top-Level Sponsor Of My Green Lab,2020-04-22,A,1.0
Gene Munster Sees Apple And Tesla As Biggest Winners This Earnings Season,2020-04-22,AAPL,1.0
These Companies Could Rebound Sharply After The COVID-19 Crisis,2020-04-22,AAPL,1.0
"Little Things Count: After Selloff To Start Week, A Bit of Light Arrives With Positive Earnings",2020-04-22,AAPL,1.0
Shares of several technology companies are trading lower amid overall market weakness following a collapse in oil prices. Oil has been negatively impacted by excess supply and low demand amid the coronavirus pandemic.,2020-04-21,AAPL,0.0
Tuesday's Market Minute: The Streaming Comeback Kid: Netflix,2020-04-21,AAPL,0.0
How Stable Are Their Networks? AT&T And Verizon Set To Release Q1 Earnings,2020-04-21,AAPL,0.0
"Benzinga's Top Upgrades, Downgrades For April 21, 2020",2020-04-21,AAP,0.0
"Guggenheim Upgrades Advance Auto Parts to Buy, Announces $153 Price Target",2020-04-21,AAP,0.0
"RBC Capital Upgrades AbbVie to Outperform, Raises Price Target to $93",2020-04-20,ABBV,0.0
"Halliburton, United, Among Key Names Reporting Results, With More Airlines Due Later In Week",2020-04-20,AAPL,0.0
Coronavirus Sell-Off A Major Opportunity For Activist Investors,2020-04-20,AAPL,0.0
"B of A Securities Maintains Buy on Advance Auto Parts, Raises Price Target to $138",2020-04-20,AAP,0.0
"Aaron's Inc Unit Announced A Final Settlement With FTC Resolving All Matters Raised By Co's Previously Disclosed FTC Investigation; Under Settlement, Which Is Subject To Court Approval, Unit Will Pay $175M To FTC With No Admission Of Wrongdoing",2020-04-20,AAN,0.0
"Gene Munster Dismisses Goldman's Apple Downgrade, Says Cupertino Has Long-Term Earnings Power",2020-04-17,AAPL,1.0
"Benzinga's Top Upgrades, Downgrades For April 17, 2020",2020-04-17,AAPL,1.0
'Apple supplier Foxconn steps up semiconductor plans with deal to build a new base in Qingdao' -South China Morning Post,2020-04-17,AAPL,1.0
"Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting",2020-04-17,AAPL,1.0
"Goldman Turns Bearish On Apple, Qualcomm, Projects 36% Drop In Q2 iPhone Sales",2020-04-17,AAPL,1.0
"Big Stocks Moving After Hours As Market Cheers Gilead, 'Reopening' Updates",2020-04-16,AAPL,0.0
S&P 500 Futures Up 3.2% After Hours; Many Other Stocks Moving Higher With Futures; Investors Reacting Favorably To White Phase Guidelines On Reopening Economy,2020-04-16,AAPL,0.0
"Apple's Tim Cook Tells Staff Mgmt. Is Unclear When Employees Will Be Able To Return To Offices, Says Offices Will Likely Have Temperature Checks, Social Distancing Efforts",2020-04-16,AAPL,0.0
Comcast's Peacock Takes Well-Timed Flight,2020-04-16,AAPL,0.0
Apple shares are trading higher after Deutsche Bank maintained its Buy rating on the stock and raised its price target from $270 to $285 per share.,2020-04-16,AAPL,0.0
"Shares of several industrial companies are trading lower as equities dip amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",2020-04-15,AAN,0.0
BioXcel Therapeutics CEO Says Wearable Devices Are Another Tool To Combat Alzheimer's Agitation,2020-04-15,AAPL,0.0
Every Member Of Trump's 'Great American Economic Revival' Industry Groups,2020-04-15,AAPL,0.0
Apple Ready To Launch 'iPhone 9'; Analyst Says Initial Sales Could Reach 25M Units,2020-04-15,AAPL,0.0
"US Senator Blumenthal Says Apple, Google Have A 'Lot Of Work To Do' To Convince People Coronavirus Contact Tracing Will Not Violate Privacy",2020-04-15,AAPL,0.0
Apple And Google Give Details On Their Joint Coronavirus Contact Tracing Tool,2020-04-14,AAPL,1.0
"Apple Makes Available Its Mobility Data To Aid In Coronavirus Efforts, Says Trends Tool From Apple Maps Can Help Mitigate Spread Of Virus",2020-04-14,AAPL,1.0
Agilent Withdraws Q2 And FY20 Guidance,2020-04-14,A,1.0
"JPMorgan, Wells Fargo Earnings Lower Than Expected, But Positive Tone Helps Shares",2020-04-14,AAPL,1.0
Apple shares are trading higher after it was reported the company shipped 2.5 million iPhones in China in March.,2020-04-14,AAPL,1.0
Advance Auto Parts Option Alert: Sep 18 $115 Calls Sweep (12) above Ask!: 2500 @ $12.967 vs 86 OI; Earnings 5/20 Before Open [est] Ref=$106.73,2020-04-13,AAP,0.0
Advance Auto Parts Reports On Thursday To Withdraw Full-Year FY20 Guidance; The Company Also Reported To Suspend Buybacks,2020-04-13,AAP,0.0
Commentary: Why Supply Chains Are Weaker Than Their Weakest Link,2020-04-13,AAPL,0.0
"Nomura Maintains Neutral on Advance Auto Parts, Lowers Price Target to $107",2020-04-13,AAP,0.0
"IDC Issues PC Report For Q1, Shows 'Sharp Decline in Q1 2020 Despite Increased Demand to Meet Remote Work and School Needs'",2020-04-13,AAPL,0.0
Shares of several industrial companies are trading higher despite a jump in weekly jobless claims after the Fed unveiled details of a $2.3 trillion plan aimed to support the economy.,2020-04-09,AAN,1.0
Communications Services Sector Earnings: When Staying In Becomes The Trend,2020-04-09,AAPL,1.0
Will FANG Lead The Market Rebound?,2020-04-09,AAPL,1.0
"Nomura Maintains Neutral on Apple, Raises Price Target to $240",2020-04-09,AAPL,1.0
Apple At A 'Fork In The Road' As Disney+ Reports 50M Subscribers,2020-04-09,AAPL,1.0
Watching Apple Shares; Hearing Traders Circulating Word Of Earlier Article From China Publication Suggesting Apple Cut Orders From China Suppliers,2020-04-08,AAPL,1.0
Global Payments Firm Papaya Global Publishes International COVID-19 Crisis Guides For Employers,2020-04-08,AAPL,1.0
"Netflix, YouTube, Disney+: Which Video Streaming Platform Do Teens Watch The Most?",2020-04-08,AAPL,1.0
The Show Must Go On – Event Industry Rising To The Challenge Of COVID-19,2020-04-08,AAPL,1.0
"Shares of several companies in the auto dealer space are trading higher amid positive market sentiment. Speculation some coronavirus hotspots leveling off has raised hopes of a return to economic activity, which could mean a rebound in consumer spending.",2020-04-08,A,1.0
10 Biggest Price Target Changes For Tuesday,2020-04-07,AAN,0.0
"Benzinga's Top Upgrades, Downgrades For April 7, 2020",2020-04-07,AAN,0.0
"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",2020-04-07,AAPL,0.0
"Stephens & Co. Downgrades Aaron's to Equal-Weight, Lowers Price Target to $26",2020-04-07,AAN,0.0
"Hearing Lakewood Capital Out With Short Call On AAON, Unconfirmed",2020-04-07,AAON,0.0
Apple's iPhone 9 Launch Could Be Imminent,2020-04-06,AAPL,1.0
Apple shares are trading higher potentially due to the company announcing it would produce 1 million face shields per week for healthcare workers.,2020-04-06,AAPL,1.0
Shares of several healthcare companies are trading higher as markets gain amid optimism that coronavirus cases in several US hotspots may be peaking. A sooner peak could mean a sooner return to economic activity.,2020-04-06,A,1.0
Investor Movement Index Summary: March 2020,2020-04-06,AAPL,1.0
"Apple Rumored To Be Eyeing $100M Acquisition Of AR, VR Company NextVR",2020-04-06,AAPL,1.0
Apple Accidentally Confirms Unreleased Product That Helps Users Find Lost Items,2020-04-03,AAPL,0.0
"UBS Maintains Buy on Advance Auto Parts, Lowers Price Target to $135",2020-04-03,AAP,0.0
Roland Garros Is Giving Us Hope – Shall We Dare to Dream?,2020-04-03,AAPL,0.0
"Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $298",2020-04-03,AAPL,0.0
"Credit Suisse Maintains Neutral on Apple, Lowers Price Target to $260",2020-04-03,AAPL,0.0
Amazon Offers Prime Video Purchases On iOS As Apple Foregoes 30% Third-Party Tax,2020-04-02,AAPL,1.0
"Stifel Maintains Hold on Agilent Technologies, Lowers Price Target to $73",2020-04-02,A,1.0
Credit Suisse Compiles List Of Corporations With Most And Least Cash,2020-04-02,AAPL,1.0
"A Peek Into The Markets: US Stock Futures Gain, Jobless Claims In Focus",2020-04-02,AAPL,1.0
"Morgan Stanley Maintains Overweight on Advance Auto Parts, Lowers Price Target to $135",2020-04-02,AAP,1.0
Shares of several healthcare companies are trading lower amid market weakness as growing coronavirus concerns in the US weigh on equities.,2020-04-01,A,0.0
Is Roku Above Other Streamers – A SWOT Approach,2020-04-01,AAPL,0.0
"Hearing Apple, Goldman To Let Card Holders Defer April Payments",2020-04-01,AAPL,0.0
Apple Analyst Projects 'Multi-Quarter Impact' On iPhone Shipments From COVID-19 Pandemic,2020-04-01,AAPL,0.0
"Wells Fargo Maintains Equal-Weight on Advance Auto Parts, Raises Price Target to $95",2020-04-01,AAP,0.0
What Google And Is Doing To Fight The Coronavirus,2020-03-31,AAPL,0.0
Apple Acquires Dark Sky Weather App,2020-03-31,AAPL,0.0
